customer_id,last_purchase_date,first_purchase_date,frequency,monetary,recency,recency_score,frequency_score,monetary_score,rfm_score,customer_segment,customer_name,gender,age,city,state,country,signup_date,churn_status,churn_score
C0000029,2025-11-18,2025-10-01,2,805.65,44,4,2,2,422,Potential Loyalists,Grace Smith,Female,46,New York,New York,United States,2025-02-08,Active,36.6
C0000030,2025-01-28,2025-01-28,1,177.41,338,2,1,1,211,Need Nurture,Kai Miller,Female,28,Bengaluru,Karnataka,India,2024-11-20,At Risk,90.9
C0000031,2025-12-19,2024-01-05,12,7143.49,13,5,5,5,555,Champions,Camila Thomas,Female,45,Bengaluru,Karnataka,India,2023-12-12,Active,2.0
C0000032,2025-12-25,2023-11-30,7,6022.77,7,5,5,5,555,Champions,James Khan,Male,28,Austin,Texas,United States,2023-11-10,Active,1.1
C0000033,2025-11-20,2025-11-20,1,1199.98,42,4,1,3,413,New Customers,Maya Chen,Male,39,Austin,Texas,United States,2025-11-10,Active,38.3
C0000034,2025-06-20,2025-06-20,1,208.4,195,2,1,1,211,Need Nurture,Camila Robinson,Female,42,Dallas,Texas,United States,2024-11-16,At Risk,69.4
C0000035,2025-05-23,2023-09-11,4,2959.55,223,2,4,4,244,Loyal Customers,Priya Patel,Male,23,Boston,Massachusetts,United States,2022-12-03,At Risk,43.6
C0000036,2024-12-08,2024-12-08,1,932.58,389,1,1,3,113,Lost Customers,Hannah Thomas,Male,42,Dallas,Texas,United States,2023-05-31,Lost,90.6
C0000037,2025-02-26,2024-09-17,3,1065.8,309,2,3,3,233,At Risk,Zara Garcia,Female,56,Phoenix,Arizona,United States,2024-03-30,At Risk,66.6
C0000038,2025-12-02,2024-11-25,3,3732.17,30,4,3,4,434,Potential Loyalists,Alex Davis,Male,35,San Francisco,California,United States,2024-05-13,Active,20.5
C0000039,2025-12-14,2025-12-14,1,150.75,18,5,1,1,511,New Customers,Ethan Robinson,Male,38,Denver,Colorado,United States,2024-10-01,Active,42.7
C0000040,2025-08-25,2025-08-25,1,26.58,129,3,1,1,311,Need Nurture,Noah Johnson,Female,40,Toronto,Ontario,Canada,2023-11-22,Needs Attention,59.4
C0000041,2025-12-01,2024-07-30,4,4323.08,31,4,4,5,445,Champions,Sofia Davis,Male,38,Sydney,New South Wales,Australia,2024-05-01,Active,10.7
C0000042,2024-03-12,2023-08-24,2,1374.27,660,1,2,3,123,Lost Customers,Benjamin Robinson,Female,37,Sydney,New South Wales,Australia,2023-07-24,Lost,100.0
C0000043,2024-08-23,2023-12-11,2,702.84,496,1,2,2,122,Lost Customers,Zara Davis,Male,36,Los Angeles,California,United States,2023-03-24,Lost,100.0
C0000044,2023-11-05,2023-11-05,1,272.42,788,1,1,1,111,Lost Customers,Aria Smith,Female,18,Sydney,New South Wales,Australia,2023-11-03,Lost,100.0
C0000045,2025-05-31,2023-07-22,5,854.16,215,2,4,2,242,At Risk,Grace Johnson,Female,42,Denver,Colorado,United States,2022-10-06,At Risk,50.4
C0000046,2024-07-27,2024-07-27,1,824.09,523,1,1,2,112,Lost Customers,Daniel Robinson,Male,24,Manchester,England,United Kingdom,2024-01-15,Lost,100.0
C0000047,2024-12-17,2024-08-07,2,1019.47,380,1,2,3,123,Lost Customers,Grace Miller,Female,42,Phoenix,Arizona,United States,2023-12-02,Lost,83.3
C0000048,2025-12-19,2025-09-07,3,1650.9,13,5,3,3,533,Potential Loyalists,Sofia Miller,Female,45,Mumbai,Maharashtra,India,2025-08-28,Active,22.0
C0000049,2025-12-04,2025-11-24,2,306.85,28,4,2,2,422,Potential Loyalists,Noah Johnson,Female,42,Melbourne,Victoria,Australia,2025-02-07,Active,34.2
C0000050,2025-12-10,2025-12-10,1,2389.55,22,4,1,4,414,New Customers,Olivia Brown,Male,26,New Delhi,Delhi,India,2025-08-06,Active,31.3
C0000052,2025-12-17,2025-07-24,19,12524.5,15,5,5,5,555,Champions,Theo Kim,Male,34,New York,New York,United States,2025-07-12,Active,2.3
C0000053,2025-11-16,2024-11-05,11,7616.84,46,4,5,5,455,Champions,Grace Wilson,Male,30,San Francisco,California,United States,2024-09-13,Active,6.9
C0000054,2025-07-21,2025-07-21,1,393.87,164,2,1,2,212,Need Nurture,Maya Taylor,Female,62,London,England,United Kingdom,2024-02-08,Needs Attention,60.7
C0000055,2025-12-24,2025-12-24,1,1606.23,8,5,1,3,513,New Customers,Mia Brown,Male,26,Los Angeles,California,United States,2022-05-26,Active,33.2
C0000056,2025-12-24,2025-02-11,6,3957.87,8,5,4,4,544,Champions,Maya Khan,Female,43,Sydney,New South Wales,Australia,2025-01-28,Active,11.2
C0000057,2024-12-27,2024-12-27,1,27.75,370,1,1,1,111,Lost Customers,Liam Kim,Male,55,Mumbai,Maharashtra,India,2022-10-28,Lost,95.8
C0000058,2025-11-08,2025-02-22,2,1429.69,54,3,2,3,323,Need Nurture,Isabella Khan,Male,42,Austin,Texas,United States,2024-03-09,Active,34.1
C0000059,2025-12-10,2025-07-20,5,1171.45,22,4,4,3,443,Loyal Customers,Maya Sharma,Male,30,London,England,United Kingdom,2025-01-14,Active,17.3
C0000060,2024-11-09,2024-11-09,1,2809.84,418,1,1,4,114,Lost Customers,Sofia Khan,Male,30,Phoenix,Arizona,United States,2024-05-04,Lost,91.0
C0000061,2025-07-15,2025-07-15,1,1597.68,170,2,1,3,213,Need Nurture,Fatima Davis,Male,20,Los Angeles,California,United States,2024-12-31,Needs Attention,57.6
C0000062,2025-06-18,2025-06-18,1,448.99,197,2,1,2,212,Need Nurture,Isabella Khan,Female,38,Melbourne,Victoria,Australia,2025-01-31,At Risk,65.7
C0000063,2025-12-08,2025-12-08,1,855.74,24,4,1,2,412,New Customers,Aria Singh,Female,39,Unknown,Massachusetts,United States,2022-11-19,Active,39.6
C0000064,2025-06-17,2025-06-17,1,1722.93,198,2,1,3,213,Need Nurture,Ethan Kim,Female,34,Austin,Texas,United States,2023-08-17,At Risk,61.8
C0000065,2025-09-29,2023-07-23,3,3018.71,94,3,3,4,334,Need Nurture,Olivia Gupta,Male,54,New Delhi,Delhi,India,2022-10-07,Needs Attention,30.2
C0000066,2024-08-16,2024-05-10,3,1044.57,503,1,3,3,133,At Risk,Maya Singh,Female,37,San Francisco,California,United States,2023-08-17,Lost,95.8
C0000067,2025-10-31,2025-08-23,3,1235.14,62,3,3,3,333,Need Nurture,Benjamin Brown,Male,18,Melbourne,Victoria,Australia,2025-02-22,Active,29.3
C0000068,2024-03-13,2024-03-13,1,257.62,659,1,1,1,111,Lost Customers,James Lee,Male,55,New York,New York,United States,2024-03-05,Lost,100.0
C0000069,2025-11-29,2024-07-18,5,7082.26,33,4,4,5,445,Champions,Priya Chen,Female,23,Vancouver,British Columbia,Canada,2023-11-27,Active,11.0
C0000070,2025-01-09,2024-12-04,2,1899.86,357,1,2,3,123,Lost Customers,Amelia Patel,Male,44,Dallas,Texas,United States,2024-11-27,At Risk,79.8
C0000071,2025-10-29,2025-10-29,1,1246.36,64,3,1,3,313,Need Nurture,Aisha Taylor,Female,45,Seattle,Washington,United States,2022-10-06,Active,41.6
C0000072,2024-11-24,2024-05-05,3,1570.96,403,1,3,3,133,At Risk,Fatima Kim,Female,37,Dallas,Texas,United States,2023-05-05,Lost,80.7
C0000073,2024-08-26,2024-08-15,2,1596.89,493,1,2,3,123,Lost Customers,Maya Wilson,Male,49,Los Angeles,California,United States,2024-08-05,Lost,100.0
C0000074,2024-07-08,2024-07-08,1,393.02,542,1,1,2,112,Lost Customers,Daniel Taylor,Female,38,Vancouver,British Columbia,Canada,2023-10-12,Lost,100.0
C0000075,2025-12-16,2024-08-18,2,929.74,16,5,2,3,523,Potential Loyalists,Priya Sharma,Female,33,Los Angeles,California,United States,2022-12-20,Active,28.4
C0000076,2025-08-21,2025-08-21,1,680.01,133,3,1,2,312,Need Nurture,Ravi Davis,Female,18,New Delhi,Delhi,India,2025-06-22,Needs Attention,56.0
C0000077,2024-11-09,2024-11-09,1,914.17,418,1,1,3,113,Lost Customers,James Anderson,Male,18,Seattle,Washington,United States,2023-03-01,Lost,95.0
C0000078,2025-11-27,2024-06-29,3,505.76,35,4,3,2,432,Potential Loyalists,Fatima Chen,Female,71,Bengaluru,Karnataka,India,2022-08-26,Active,29.3
C0000079,2025-09-17,2023-11-26,10,4146.78,106,3,5,5,355,Loyal Customers,Aisha Johnson,Male,46,Dallas,Texas,United States,2023-10-23,Needs Attention,16.0
C0000080,2025-12-30,2025-10-27,10,8949.37,2,5,5,5,555,Champions,Priya Kim,Female,53,Mumbai,Maharashtra,India,2025-10-27,Active,0.3
C0000081,2025-12-24,2025-12-24,1,88.83,8,5,1,1,511,New Customers,Sofia Garcia,Male,68,Dallas,Texas,United States,2023-09-19,Active,41.2
C0000082,2025-12-21,2024-11-11,9,1847.38,11,5,5,3,553,Loyal Customers,Hannah Wilson,Non-binary,33,Toronto,Ontario,Canada,2024-09-25,Active,9.7
C0000083,2025-11-20,2025-11-20,1,101.22,42,4,1,1,411,New Customers,Isabella Sharma,Male,36,Miami,Florida,United States,2025-11-13,Active,46.3
C0000084,2025-12-25,2025-12-25,1,322.72,7,5,1,2,512,New Customers,Noah Robinson,Male,18,Dallas,Texas,United States,2025-08-02,Active,37.1
C0000085,2025-12-25,2025-12-16,2,2669.46,7,5,2,4,524,Potential Loyalists,Mia Robinson,Female,34,Denver,Colorado,United States,2025-09-07,Active,23.1
C0000086,2025-12-17,2025-12-17,1,332.37,15,5,1,2,512,New Customers,Amelia Patel,Female,34,Manchester,England,United Kingdom,2022-05-12,Active,38.3
C0000087,2025-12-29,2024-04-05,9,4994.36,3,5,5,5,555,Champions,Maya Taylor,Male,33,Austin,Texas,United States,2024-02-28,Active,0.5
C0000088,2025-10-30,2023-11-29,10,5305.11,63,3,5,5,355,Loyal Customers,Theo Khan,Female,50,New Delhi,Delhi,India,2023-09-29,Active,9.5
C0000089,2025-10-03,2023-02-14,6,5237.65,90,3,4,5,345,Loyal Customers,Noah Chen,Male,46,Miami,Florida,United States,2022-10-28,Active,19.6
C0000090,2025-12-03,2025-07-28,3,1688.42,29,4,3,3,433,Potential Loyalists,Isabella Gupta,Female,49,Seattle,Washington,United States,2025-03-01,Active,24.4
C0000091,2025-12-03,2024-04-06,3,809.91,29,4,3,2,432,Potential Loyalists,James Garcia,Male,23,Los Angeles,California,United States,2023-04-09,Active,28.4
C0000092,2024-10-10,2024-10-10,1,903.64,448,1,1,2,112,Lost Customers,Camila Wilson,Female,38,Bengaluru,Karnataka,India,2024-09-23,Lost,100.0
C0000093,2025-12-29,2024-06-30,11,6285.74,3,5,5,5,555,Champions,Maya Miller,Male,42,Miami,Florida,United States,2024-06-15,Active,0.5
C0000094,2025-12-25,2024-11-04,9,3651.04,7,5,5,4,554,Champions,Camila Kim,Female,60,Bengaluru,Karnataka,India,2024-10-22,Active,5.1
C0000095,2025-12-09,2025-12-01,2,1304.11,23,4,2,3,423,Potential Loyalists,Ethan Anderson,Male,39,Toronto,Ontario,Canada,2025-11-10,Active,29.5
C0000096,2025-07-26,2024-08-01,3,1459.64,159,2,3,3,233,At Risk,Camila Sharma,Male,36,Toronto,Ontario,Canada,2024-05-27,Needs Attention,44.0
C0000097,2025-12-23,2024-10-27,4,3714.54,9,5,4,4,544,Champions,Ethan Patel,Male,51,Vancouver,British Columbia,Canada,2023-04-23,Active,11.4
C0000098,2025-12-01,2024-10-09,6,3069.9,31,4,4,4,444,Champions,Fatima Smith,Female,34,Mumbai,Maharashtra,India,2023-12-29,Active,14.7
C0000099,2025-08-23,2024-11-21,2,775.78,131,3,2,2,322,Need Nurture,Alex Chen,Male,43,Toronto,Ontario,Canada,2024-06-01,Needs Attention,49.7
C0000100,2025-12-19,2025-08-05,3,4427.88,13,5,3,5,535,Potential Loyalists,Mia Robinson,Male,43,New Delhi,Delhi,India,2025-07-12,Active,14.0
C0000101,2025-12-18,2025-09-23,2,1957.28,14,5,2,3,523,Potential Loyalists,Hannah Khan,Male,31,New Delhi,Delhi,India,2025-06-15,Active,28.1
C0000102,2025-12-29,2023-07-22,26,20615.47,3,5,5,5,555,Champions,Theo Garcia,Male,29,Toronto,Ontario,Canada,2023-07-16,Active,0.5
C0000103,2025-10-09,2025-10-09,1,188.25,84,3,1,1,311,Need Nurture,Aria Garcia,Female,37,Los Angeles,California,United States,2025-09-21,Active,52.7
C0000104,2025-11-22,2024-08-30,3,254.84,40,4,3,1,431,Potential Loyalists,Maya Gupta,Male,32,Dallas,Texas,United States,2024-01-12,Active,34.0
C0000105,2025-10-11,2025-07-25,3,686.61,82,3,3,2,332,Need Nurture,Aria Sharma,Male,19,Toronto,Ontario,Canada,2025-07-11,Active,36.4
C0000106,2025-08-29,2023-05-25,13,6776.42,125,3,5,5,355,Loyal Customers,James Anderson,Female,46,Chicago,Illinois,United States,2023-03-10,Needs Attention,18.8
C0000107,2025-02-26,2024-06-09,2,1551.45,309,2,2,3,223,Need Nurture,Isabella Thomas,Male,44,London,England,United Kingdom,2024-01-24,At Risk,72.6
C0000108,2025-03-08,2024-02-06,5,3532.38,299,2,4,4,244,Loyal Customers,Hannah Wilson,Male,28,Chicago,Illinois,United States,2023-11-28,At Risk,55.1
C0000109,2024-12-18,2024-12-18,1,764.02,379,1,1,2,112,Lost Customers,Maya Wilson,Female,27,Dallas,Texas,United States,2024-02-15,Lost,93.1
C0000110,2025-10-07,2025-10-07,1,675.67,86,3,1,2,312,Need Nurture,Priya Smith,Female,43,Dallas,Texas,United States,2025-04-04,Active,49.0
C0000111,2025-10-06,2025-10-03,2,1416.94,87,3,2,3,323,Need Nurture,Daniel Johnson,Female,58,Sydney,New South Wales,Australia,2025-04-27,Active,39.1
C0000112,2025-12-31,2025-12-31,1,1394.42,1,5,1,3,513,New Customers,Ravi Kim,Male,49,Atlanta,Georgia,United States,2023-11-22,Active,32.2
C0000113,2025-09-04,2023-11-06,6,1880.7,119,3,4,3,343,Loyal Customers,Aria Chen,Female,51,New York,New York,United States,2023-11-05,Needs Attention,31.9
C0000114,2023-12-20,2023-12-20,1,342.22,743,1,1,2,112,Lost Customers,Daniel Taylor,Non-binary,33,London,England,United Kingdom,2022-04-23,Lost,100.0
C0000115,2025-12-20,2024-11-13,3,561.18,12,5,3,2,532,Potential Loyalists,Daniel Singh,Female,42,New Delhi,Delhi,India,2024-09-20,Active,25.8
C0000116,2025-12-31,2025-02-27,5,2481.57,1,5,4,4,544,Champions,Theo Davis,Male,35,London,England,United Kingdom,2024-02-23,Active,10.2
C0000117,2025-03-05,2025-03-05,1,59.34,302,2,1,1,211,Need Nurture,Alex Wilson,Male,28,Los Angeles,California,United States,2024-04-10,At Risk,85.5
C0000118,2025-11-22,2025-11-22,1,399.6,40,4,1,2,412,New Customers,Fatima Anderson,Non-binary,39,Mumbai,Maharashtra,India,2025-08-21,Active,42.0
C0000119,2025-11-16,2025-11-16,1,112.62,46,4,1,1,411,New Customers,Grace Singh,Female,27,Melbourne,Victoria,Australia,2024-03-08,Active,46.9
C0000120,2025-12-26,2025-11-15,2,3187.27,6,5,2,4,524,Potential Loyalists,Priya Chen,Female,28,Mumbai,Maharashtra,India,2025-05-31,Active,22.9
C0000121,2025-11-09,2025-03-07,2,1090.04,53,3,2,3,323,Need Nurture,Isabella Sharma,Male,32,Miami,Florida,United States,2024-06-05,Active,34.0
C0000122,2024-12-30,2024-12-30,1,94.52,367,1,1,1,111,Lost Customers,Zara Taylor,Female,33,Los Angeles,California,United States,2023-11-26,Lost,95.3
C0000123,2025-09-12,2025-02-18,2,829.43,111,3,2,2,322,Need Nurture,Noah Wilson,Female,37,Melbourne,Victoria,Australia,2024-08-27,Needs Attention,46.7
C0000124,2025-12-19,2023-06-07,4,3595.94,13,5,4,4,544,Champions,Mia Davis,Female,18,Seattle,Washington,United States,2022-11-02,Active,12.0
C0000125,2025-10-01,2025-10-01,1,116.65,92,3,1,1,311,Need Nurture,Noah Davis,Male,26,Sydney,New South Wales,Australia,2025-03-13,Needs Attention,53.9
C0000126,2025-09-12,2024-11-18,3,3299.6,111,3,3,4,334,Need Nurture,Aria Brown,Male,56,Atlanta,Georgia,United States,2024-10-24,Needs Attention,32.7
C0000127,2025-09-02,2025-01-02,4,1977.87,121,3,4,4,344,Loyal Customers,Hannah Smith,Male,37,London,England,United Kingdom,2024-02-23,Needs Attention,28.2
C0000128,2025-06-26,2023-03-01,13,6021.65,189,2,5,5,255,Loyal Customers,Kai Davis,Female,44,Denver,Colorado,United States,2023-01-05,At Risk,28.5
C0000129,2025-12-11,2025-12-11,1,170.87,21,4,1,1,411,New Customers,Benjamin Khan,Male,42,Vancouver,British Columbia,Canada,2024-09-30,Active,43.2
C0000130,2025-05-01,2025-04-04,2,245.96,245,2,2,1,221,Need Nurture,Alex Kim,Male,36,Los Angeles,California,United States,2024-10-02,At Risk,70.9
C0000131,2024-10-09,2024-06-12,2,467.78,449,1,2,2,122,Lost Customers,Amelia Khan,Female,26,New York,New York,United States,2023-04-06,Lost,97.7
C0000132,2025-12-09,2025-03-04,9,7896.47,23,4,5,5,455,Champions,Olivia Lee,Female,30,San Francisco,California,United States,2025-02-25,Active,3.5
C0000133,2025-08-08,2025-02-07,3,1461.78,146,2,3,3,233,At Risk,Maya Johnson,Female,61,Atlanta,Georgia,United States,2024-11-28,Needs Attention,42.0
C0000135,2025-12-21,2025-09-06,5,2354.99,11,5,4,4,544,Champions,Noah Khan,Non-binary,58,Chicago,Illinois,United States,2025-07-25,Active,11.7
C0000136,2024-11-13,2023-12-01,2,557.09,414,1,2,2,122,Lost Customers,Mia Smith,Non-binary,32,Seattle,Washington,United States,2022-06-03,Lost,92.4
C0000137,2025-11-23,2025-11-23,1,63.73,39,4,1,1,411,New Customers,Priya Chen,Male,33,Los Angeles,California,United States,2023-08-20,Active,45.9
C0000138,2023-09-11,2023-03-28,2,950.56,843,1,2,3,123,Lost Customers,Sofia Wilson,Female,38,Miami,Florida,United States,2022-12-31,Lost,100.0
C0000139,2025-12-23,2025-12-23,1,349.38,9,5,1,2,512,New Customers,Sofia Kim,Prefer not to say,35,San Francisco,California,United States,2025-10-16,Active,37.4
C0000140,2025-11-03,2025-11-03,1,2464.82,59,3,1,4,314,Need Nurture,Aria Gupta,Male,26,Bengaluru,Karnataka,India,2025-03-13,Active,36.9
C0000141,2024-12-24,2024-12-24,1,109.11,373,1,1,1,111,Lost Customers,Olivia Kim,Prefer not to say,37,Miami,Florida,United States,2023-04-19,Lost,96.2
C0000142,2025-12-28,2024-12-11,5,3015.01,4,5,4,4,544,Champions,Fatima Thomas,Non-binary,19,Austin,Texas,United States,2024-02-20,Active,10.6
C0000143,2025-12-22,2025-06-17,4,5054.07,10,5,4,5,545,Champions,Grace Smith,Female,41,San Francisco,California,United States,2025-06-05,Active,7.5
C0000144,2025-12-24,2024-04-16,3,1106.55,8,5,3,3,533,Potential Loyalists,Maya Smith,Female,40,New York,New York,United States,2024-03-26,Active,21.2
C0000145,2025-11-11,2023-09-01,3,1239.97,51,4,3,3,433,Potential Loyalists,Liam Garcia,Male,46,Bengaluru,Karnataka,India,2023-05-10,Active,27.7
C0000146,2025-07-24,2024-04-01,2,450.66,161,2,2,2,222,Need Nurture,Grace Taylor,Male,31,London,England,United Kingdom,2023-09-04,Needs Attention,54.3
C0000147,2025-09-30,2025-09-30,1,2305.15,93,3,1,4,314,Need Nurture,Zara Sharma,Female,46,London,England,United Kingdom,2022-04-03,Needs Attention,42.0
C0000148,2025-08-10,2024-08-22,11,10372.6,144,2,5,5,255,Loyal Customers,Aria Brown,Male,42,New York,New York,United States,2024-06-09,Needs Attention,21.7
C0000149,2025-10-30,2025-10-30,1,99.22,63,3,1,1,311,Need Nurture,Alex Kim,Female,39,Miami,Florida,United States,2024-04-01,Active,49.5
C0000150,2024-08-31,2024-02-17,2,997.22,488,1,2,3,123,Lost Customers,Aarav Smith,Female,61,Bengaluru,Karnataka,India,2023-05-19,Lost,99.5
C0000151,2025-11-19,2025-03-05,7,5255.54,43,4,5,5,455,Champions,Priya Martinez,Male,43,London,England,United Kingdom,2024-11-30,Active,6.5
C0000152,2025-10-07,2025-10-07,1,83.27,86,3,1,1,311,Need Nurture,Grace Miller,Female,31,Austin,Texas,United States,2025-09-25,Active,53.0
C0000153,2025-12-12,2025-12-12,1,245.76,20,4,1,1,411,New Customers,Grace Khan,Male,55,Melbourne,Victoria,Australia,2025-11-27,Active,43.0
C0000154,2025-09-02,2024-11-25,7,2452.62,121,3,5,4,354,Loyal Customers,Maya Anderson,Female,43,New York,New York,United States,2024-10-03,Needs Attention,22.2
C0000155,2025-11-12,2023-06-24,5,6051.71,50,4,4,5,445,Champions,Grace Taylor,Female,58,Los Angeles,California,United States,2023-03-19,Active,13.5
C0000156,2025-12-29,2025-11-09,5,7035.12,3,5,4,5,545,Champions,Kai Singh,Female,18,Dallas,Texas,United States,2025-10-22,Active,6.5
C0000157,2025-12-06,2025-12-06,1,587.33,26,4,1,2,412,New Customers,Aisha Gupta,Female,33,Miami,Florida,United States,2025-09-07,Active,39.9
C0000158,2025-10-21,2024-02-09,7,9374.75,72,3,5,5,355,Loyal Customers,Amelia Garcia,Female,33,London,England,United Kingdom,2023-12-31,Active,10.8
C0000159,2025-10-29,2023-12-17,2,255.01,64,3,2,1,321,Need Nurture,Theo Martinez,Female,18,London,England,United Kingdom,2022-12-02,Active,43.6
C0000160,2025-02-14,2023-11-11,6,5688.7,321,2,4,5,245,Loyal Customers,Hannah Singh,Male,39,San Francisco,California,United States,2023-10-09,At Risk,54.4
C0000161,2023-05-11,2023-05-11,1,99.86,966,1,1,1,111,Lost Customers,Aria Brown,Female,33,Los Angeles,California,United States,2022-11-24,Lost,100.0
C0000162,2023-10-19,2023-04-26,3,598.93,805,1,3,2,132,At Risk,Fatima Patel,Male,18,London,England,United Kingdom,2023-04-14,Lost,100.0
C0000163,2025-11-23,2025-11-23,1,403.13,39,4,1,2,412,New Customers,Ethan Smith,Female,28,Sydney,New South Wales,Australia,2024-01-26,Active,41.9
C0000164,2025-09-14,2024-06-26,2,534.13,109,3,2,2,322,Need Nurture,Camila Lee,Male,54,Denver,Colorado,United States,2024-06-26,Needs Attention,46.4
C0000165,2025-03-25,2024-06-12,3,1027.54,282,2,3,3,233,At Risk,Daniel Brown,Male,48,Austin,Texas,United States,2024-03-18,At Risk,62.5
C0000166,2023-11-25,2023-07-16,5,1728.19,768,1,4,3,143,Loyal Customers,Noah Anderson,Female,28,Seattle,Washington,United States,2022-03-28,Lost,100.0
C0000167,2023-01-10,2023-01-10,1,967.77,1087,1,1,3,113,Lost Customers,Alex Davis,Male,28,Phoenix,Arizona,United States,2023-01-04,Lost,100.0
C0000168,2025-09-27,2024-07-01,5,5602.71,96,3,4,5,345,Loyal Customers,Daniel Taylor,Female,47,Austin,Texas,United States,2024-03-05,Needs Attention,20.5
C0000169,2025-12-25,2025-12-25,1,313.63,7,5,1,2,512,New Customers,Hannah Lee,Female,18,New Delhi,Delhi,India,2025-05-10,Active,37.1
