customer_id,customer_name,valid_orders,revenue,last_purchase_date,recency_days,churn_status
C0009732,Hannah Brown,5,8072.25,2024-12-02,395,Lost
C0044646,Grace Kim,6,8072.01,2024-06-03,577,Lost
C0018418,James Gupta,12,8064.23,2025-05-11,235,At Risk
C0022611,Liam Kim,2,8058.28,2025-06-13,202,At Risk
C0006719,Ethan Gupta,3,8057.47,2025-05-19,227,At Risk
C0043933,Aria Smith,5,8000.62,2025-04-18,258,At Risk
C0005826,Maya Sharma,7,7977.36,2025-04-01,275,At Risk
C0024219,Noah Miller,12,7971.11,2025-06-22,193,At Risk
C0030288,Olivia Lee,7,7967.49,2025-04-12,264,At Risk
C0030656,Aarav Wilson,7,7964.97,2025-06-27,188,At Risk
C0003631,Liam Taylor,3,7961.04,2023-11-25,768,Lost
C0041297,Aarav Garcia,2,7960.46,2025-04-11,265,At Risk
C0009142,Liam Taylor,9,7941.48,2025-06-08,207,At Risk
C0003072,Noah Brown,3,7919.75,2024-10-16,442,Lost
C0024637,Aisha Khan,6,7880.92,2025-02-20,315,At Risk
C0010475,Benjamin Robinson,5,7867.42,2024-09-24,464,Lost
C0002863,Aarav Davis,4,7803.63,2025-05-31,215,At Risk
C0046555,Grace Gupta,6,7791.64,2025-06-08,207,At Risk
C0048127,Alex Kim,12,7781.46,2025-03-25,282,At Risk
C0011831,Hannah Garcia,9,7762.68,2025-06-08,207,At Risk
C0004010,Aisha Sharma,7,7752.76,2024-10-30,428,Lost
C0045761,Aria Kim,11,7748.5,2025-06-23,192,At Risk
C0014263,Daniel Gupta,4,7722.83,2024-10-07,451,Lost
C0025103,Daniel Khan,3,7703.35,2025-05-21,225,At Risk
C0028928,Hannah Singh,5,7697.66,2025-06-15,200,At Risk
C0048890,Aria Sharma,4,7684.1,2025-06-30,185,At Risk
C0019121,Alex Chen,4,7681.04,2025-04-28,248,At Risk
C0029355,Ravi Lee,7,7650.2,2025-06-27,188,At Risk
C0023552,Ravi Anderson,7,7648.91,2025-07-02,183,At Risk
C0001635,Noah Singh,2,7622.46,2025-06-05,210,At Risk
C0034306,Ravi Thomas,6,7616.38,2025-04-19,257,At Risk
C0018476,Maya Chen,6,7600.03,2025-04-18,258,At Risk
C0000177,Amelia Brown,7,7589.42,2024-09-02,486,Lost
C0011397,Aisha Patel,7,7562.93,2025-06-09,206,At Risk
C0009549,Alex Smith,7,7562.29,2024-09-14,474,Lost
C0034857,Fatima Thomas,12,7549.97,2025-06-29,186,At Risk
C0034579,Grace Brown,3,7535.13,2025-06-18,197,At Risk
C0013601,Aisha Gupta,6,7518.77,2025-06-20,195,At Risk
C0038822,Ravi Gupta,8,7492.04,2025-04-02,274,At Risk
C0043970,Benjamin Brown,10,7462.5,2024-12-04,393,Lost
C0012485,Camila Johnson,6,7454.57,2025-03-17,290,At Risk
C0027469,Ethan Sharma,5,7435.54,2025-01-29,337,At Risk
C0031888,Ethan Chen,3,7416.15,2025-07-02,183,At Risk
C0026016,Hannah Thomas,2,7414.67,2025-04-23,253,At Risk
C0016235,Ethan Sharma,7,7380.11,2025-05-14,232,At Risk
C0014638,Mia Lee,6,7346.71,2025-04-13,263,At Risk
C0022927,Benjamin Sharma,10,7330.97,2025-06-21,194,At Risk
C0035736,Noah Gupta,12,7325.62,2025-06-06,209,At Risk
C0000215,Aisha Robinson,5,7317.98,2025-03-07,300,At Risk
C0028465,Aarav Johnson,2,7317.54,2024-10-30,428,Lost
C0045949,Amelia Chen,6,7305.22,2024-12-24,373,Lost
C0024479,Zara Singh,2,7274.36,2025-03-21,286,At Risk
C0025511,Camila Lee,8,7264.79,2025-07-03,182,At Risk
C0030889,Isabella Smith,10,7242.59,2025-05-31,215,At Risk
C0020317,Grace Miller,13,7238.2,2024-12-11,386,Lost
C0019137,Camila Kim,2,7231.33,2024-01-16,716,Lost
C0003860,Aisha Sharma,7,7210.6,2025-01-05,361,At Risk
C0019733,Ethan Kim,5,7209.02,2024-11-02,425,Lost
C0007445,Camila Brown,6,7197.89,2025-07-01,184,At Risk
C0009920,Liam Martinez,5,7190.85,2025-02-03,332,At Risk
C0033170,Mia Davis,13,7175.11,2025-04-30,246,At Risk
C0024358,Daniel Brown,5,7174.97,2025-06-16,199,At Risk
C0022246,Amelia Singh,6,7172.68,2025-04-17,259,At Risk
C0016949,Kai Sharma,12,7166.08,2025-05-25,221,At Risk
C0033997,Theo Robinson,5,7157.38,2025-02-01,334,At Risk
C0015446,Kai Sharma,6,7152.43,2024-12-08,389,Lost
C0031245,Maya Miller,13,7147.24,2025-05-02,244,At Risk
C0001472,Noah Gupta,3,7143.87,2024-12-24,373,Lost
C0018258,Kai Brown,6,7140.81,2025-03-20,287,At Risk
C0029568,Aisha Sharma,5,7139.13,2025-03-15,292,At Risk
C0047363,Fatima Anderson,7,7099.2,2025-06-01,214,At Risk
C0018397,Hannah Lee,6,7094.11,2025-03-03,304,At Risk
C0005730,James Brown,6,7085.28,2025-06-20,195,At Risk
C0008245,Theo Davis,10,7082.66,2025-05-17,229,At Risk
C0041197,Zara Davis,4,7076.15,2025-05-25,221,At Risk
C0042454,Ethan Gupta,11,7026.83,2025-05-12,234,At Risk
C0023270,Noah Thomas,11,7019.45,2025-06-04,211,At Risk
C0007134,Aarav Robinson,9,6968.5,2025-06-01,214,At Risk
C0028221,James Thomas,6,6956.98,2024-12-31,366,Lost
C0029016,Daniel Wilson,9,6944.72,2025-04-23,253,At Risk
C0002929,Daniel Johnson,9,6910.56,2025-01-23,343,At Risk
C0032528,Ravi Chen,4,6909.69,2025-04-15,261,At Risk
C0046525,Sofia Thomas,6,6907.92,2025-06-26,189,At Risk
C0043317,Noah Chen,4,6897.61,2024-07-16,534,Lost
C0049565,Liam Davis,6,6894.75,2025-07-01,184,At Risk
C0011700,Aarav Miller,4,6893.79,2023-12-25,738,Lost
C0007537,Camila Martinez,5,6890.18,2024-12-14,383,Lost
C0016011,Grace Thomas,5,6888.63,2025-04-08,268,At Risk
C0022267,Noah Wilson,4,6883.2,2024-12-12,385,Lost
C0005762,Aisha Robinson,7,6880.78,2024-11-28,399,Lost
C0037021,Priya Chen,11,6869.61,2025-06-21,194,At Risk
C0003371,Priya Robinson,5,6864.16,2024-06-21,559,Lost
C0014372,Fatima Sharma,5,6863.5,2025-03-10,297,At Risk
C0011659,Mia Thomas,3,6862.24,2024-06-02,578,Lost
C0003745,Kai Smith,5,6861.33,2025-05-21,225,At Risk
C0031087,Kai Smith,11,6848.66,2025-05-16,230,At Risk
C0047506,Alex Kim,7,6842.15,2025-04-16,260,At Risk
C0032577,Zara Davis,6,6819.03,2025-04-18,258,At Risk
C0024809,Amelia Sharma,2,6816.17,2025-03-28,279,At Risk
C0035046,Hannah Martinez,4,6809.66,2025-06-09,206,At Risk
C0035815,Aria Martinez,3,6782.01,2025-01-13,353,At Risk
C0038072,Alex Davis,11,6780.18,2025-06-04,211,At Risk
C0011820,Ravi Davis,3,6758.66,2025-05-09,237,At Risk
C0013667,Aria Sharma,5,6758.52,2025-05-23,223,At Risk
C0036135,Noah Lee,3,6754.33,2025-04-21,255,At Risk
C0040455,Maya Anderson,3,6742.55,2024-08-28,491,Lost
C0004883,Mia Smith,2,6736.59,2024-11-20,407,Lost
C0010926,Camila Thomas,6,6728.24,2025-02-21,314,At Risk
C0024476,Isabella Gupta,11,6710.16,2025-06-28,187,At Risk
C0010417,Camila Sharma,2,6703.56,2025-04-19,257,At Risk
C0024593,Priya Davis,9,6701.41,2025-06-03,212,At Risk
C0014874,Ethan Johnson,8,6674.33,2025-06-24,191,At Risk
C0009721,Kai Garcia,7,6670.08,2025-01-04,362,At Risk
C0034830,Sofia Sharma,2,6642.45,2024-07-27,523,Lost
C0019224,Isabella Patel,4,6617.87,2025-06-29,186,At Risk
C0042616,Mia Davis,5,6614.64,2025-03-17,290,At Risk
C0036273,Liam Davis,8,6610.51,2025-04-15,261,At Risk
C0041934,Aarav Kim,2,6607.08,2024-10-11,447,Lost
C0001845,Noah Gupta,4,6605.77,2024-11-13,414,Lost
C0046040,Maya Miller,3,6561.7,2024-03-25,647,Lost
C0037160,Priya Anderson,4,6553.62,2025-03-02,305,At Risk
C0022115,Fatima Wilson,2,6550.05,2024-07-10,540,Lost
C0035030,James Martinez,4,6519.64,2025-05-08,238,At Risk
C0000976,Alex Thomas,2,6517.14,2024-11-07,420,Lost
C0016750,Aria Wilson,12,6512.02,2025-04-19,257,At Risk
C0032356,Priya Singh,9,6507.39,2025-04-09,267,At Risk
C0048892,Noah Robinson,5,6501.17,2025-06-30,185,At Risk
C0008789,Grace Patel,5,6499.21,2025-06-20,195,At Risk
C0011794,Maya Miller,7,6497.27,2025-05-25,221,At Risk
C0027701,Olivia Thomas,11,6481.72,2025-03-07,300,At Risk
C0019728,Hannah Davis,2,6475.39,2025-02-23,312,At Risk
C0014718,Benjamin Sharma,2,6468.15,2024-12-22,375,Lost
C0007188,Priya Singh,6,6445.5,2025-06-19,196,At Risk
C0014971,Olivia Patel,5,6445.44,2025-04-22,254,At Risk
C0016851,Olivia Sharma,11,6436.28,2025-03-18,289,At Risk
C0032464,Priya Wilson,5,6423.61,2024-12-14,383,Lost
C0009783,Alex Wilson,12,6411.32,2025-04-18,258,At Risk
C0008816,Mia Anderson,3,6391.97,2024-12-11,386,Lost
C0033863,Grace Smith,8,6389.38,2025-06-06,209,At Risk
C0016757,Daniel Chen,5,6379.75,2024-10-29,429,Lost
C0034975,Amelia Gupta,7,6378.75,2025-03-26,281,At Risk
C0008305,Mia Singh,3,6354.82,2025-06-25,190,At Risk
C0006849,Amelia Chen,6,6350.87,2025-05-20,226,At Risk
C0023540,Mia Chen,3,6346.83,2025-02-21,314,At Risk
C0035580,Theo Kim,2,6340.25,2024-12-06,391,Lost
C0030387,Alex Gupta,7,6339.55,2025-06-12,203,At Risk
C0004553,Maya Robinson,5,6338.35,2024-12-14,383,Lost
C0021114,Aarav Davis,8,6320.48,2025-02-28,307,At Risk
C0022781,Maya Sharma,7,6305.03,2025-04-13,263,At Risk
C0011223,Benjamin Johnson,3,6295.68,2025-06-14,201,At Risk
C0004640,Liam Chen,3,6293.81,2025-03-21,286,At Risk
C0036360,Kai Thomas,9,6283.41,2025-06-24,191,At Risk
C0020565,Mia Thomas,3,6280.16,2024-11-14,413,Lost
C0034458,Aarav Martinez,2,6278.86,2025-02-19,316,At Risk
C0035950,Priya Patel,12,6276.38,2025-04-25,251,At Risk
C0038195,Maya Anderson,10,6247.0,2025-06-10,205,At Risk
C0006195,Daniel Thomas,9,6245.75,2025-06-09,206,At Risk
C0045217,Kai Johnson,4,6243.58,2024-12-18,379,Lost
C0022449,Grace Sharma,6,6241.1,2024-11-12,415,Lost
C0038290,Priya Kim,2,6227.54,2025-05-06,240,At Risk
C0005435,Grace Smith,6,6224.66,2025-05-10,236,At Risk
C0037523,Amelia Smith,9,6211.12,2024-11-03,424,Lost
C0034278,Alex Brown,9,6203.04,2025-04-21,255,At Risk
C0003762,Daniel Kim,6,6200.54,2025-04-29,247,At Risk
C0032922,Olivia Singh,13,6184.51,2025-03-23,284,At Risk
C0027989,Sofia Martinez,8,6171.1,2025-05-11,235,At Risk
C0015877,Isabella Sharma,5,6161.71,2024-12-07,390,Lost
C0005862,Camila Chen,7,6161.45,2025-05-21,225,At Risk
C0049954,Ravi Wilson,5,6155.82,2024-12-10,387,Lost
C0016979,Ravi Taylor,9,6150.52,2025-04-25,251,At Risk
C0010290,Aisha Smith,3,6143.34,2025-02-01,334,At Risk
C0030006,Theo Singh,7,6133.63,2025-06-05,210,At Risk
C0040020,Priya Taylor,3,6129.17,2024-04-30,611,Lost
C0032619,Liam Taylor,2,6123.03,2024-07-16,534,Lost
C0031364,Sofia Miller,9,6119.82,2025-05-31,215,At Risk
C0040354,Aria Robinson,7,6115.08,2025-01-15,351,At Risk
C0009059,Noah Brown,7,6113.61,2025-06-19,196,At Risk
C0014233,Grace Chen,2,6113.36,2025-06-20,195,At Risk
C0049693,Grace Garcia,2,6112.25,2025-03-18,289,At Risk
C0039801,Liam Lee,5,6110.8,2024-10-06,452,Lost
C0032644,Ravi Gupta,5,6106.37,2024-11-05,422,Lost
C0001323,Priya Wilson,3,6103.03,2024-05-24,587,Lost
C0047667,Aisha Brown,7,6094.87,2024-12-09,388,Lost
C0016227,Daniel Gupta,6,6086.84,2025-06-27,188,At Risk
C0004819,Amelia Chen,4,6083.47,2024-01-10,722,Lost
C0022070,Ravi Robinson,5,6081.47,2025-05-19,227,At Risk
C0042880,Liam Miller,6,6081.31,2025-04-27,249,At Risk
C0007385,Isabella Robinson,2,6078.08,2025-06-09,206,At Risk
C0031710,Aria Patel,7,6076.85,2025-05-02,244,At Risk
C0049753,Olivia Martinez,4,6073.65,2024-09-12,476,Lost
C0049300,Benjamin Robinson,6,6067.31,2025-02-22,313,At Risk
C0020153,Zara Smith,3,6048.11,2025-05-02,244,At Risk
C0006187,Isabella Sharma,8,6045.04,2025-03-30,277,At Risk
C0037550,Isabella Wilson,4,6034.77,2025-05-28,218,At Risk
C0022917,Liam Anderson,3,6034.23,2025-03-15,292,At Risk
C0009573,Benjamin Patel,7,6032.6,2025-04-14,262,At Risk
C0029087,Zara Martinez,7,6024.07,2025-06-11,204,At Risk
C0000128,Kai Davis,13,6021.65,2025-06-26,189,At Risk
C0001566,Sofia Taylor,6,6010.76,2025-04-23,253,At Risk
C0047193,Aarav Robinson,8,6007.23,2025-05-21,225,At Risk
C0020203,Isabella Anderson,3,6007.2,2024-04-17,624,Lost
C0001034,Grace Lee,7,5991.92,2025-01-23,343,At Risk
C0042369,Ravi Garcia,3,5990.46,2024-05-03,608,Lost
C0046444,Maya Garcia,5,5978.37,2025-06-16,199,At Risk
C0012609,Ethan Robinson,7,5968.08,2025-07-03,182,At Risk
C0049086,Theo Gupta,7,5966.9,2025-02-16,319,At Risk
C0004674,Grace Garcia,2,5957.46,2025-06-11,204,At Risk
C0040119,Camila Singh,3,5956.59,2025-04-08,268,At Risk
C0022816,Aria Smith,6,5954.88,2025-04-17,259,At Risk
C0007765,Alex Patel,7,5952.77,2025-05-29,217,At Risk
C0020181,Daniel Martinez,2,5947.13,2025-06-15,200,At Risk
C0033230,Ethan Robinson,4,5936.11,2025-03-15,292,At Risk
C0010951,Daniel Anderson,7,5919.14,2025-04-16,260,At Risk
C0038934,Hannah Wilson,5,5912.26,2024-11-09,418,Lost
C0013925,Sofia Miller,3,5909.03,2025-04-06,270,At Risk
C0042184,Aarav Johnson,4,5907.51,2025-02-04,331,At Risk
C0037945,Priya Robinson,3,5905.67,2024-11-15,412,Lost
C0015116,Zara Patel,2,5903.35,2025-01-17,349,At Risk
C0033402,Theo Patel,9,5903.03,2025-06-12,203,At Risk
C0011704,Mia Khan,3,5889.5,2024-06-05,575,Lost
C0047031,Alex Miller,5,5886.16,2025-06-24,191,At Risk
C0039171,Hannah Wilson,9,5875.21,2025-01-31,335,At Risk
C0016216,Alex Gupta,2,5874.23,2024-12-21,376,Lost
C0035746,Ethan Miller,5,5869.45,2023-10-28,796,Lost
C0015485,Priya Gupta,5,5868.74,2025-05-28,218,At Risk
C0039875,James Martinez,8,5861.53,2025-05-23,223,At Risk
C0038613,Aisha Brown,3,5857.99,2025-04-16,260,At Risk
C0019125,Camila Sharma,5,5852.9,2025-03-12,295,At Risk
C0001481,Kai Miller,5,5851.26,2024-11-24,403,Lost
C0044999,Amelia Brown,7,5850.58,2025-01-19,347,At Risk
C0011953,Isabella Thomas,4,5848.44,2025-05-25,221,At Risk
C0044421,Sofia Smith,4,5847.1,2025-05-16,230,At Risk
C0043814,Amelia Khan,8,5846.93,2025-01-30,336,At Risk
C0011793,James Johnson,7,5840.71,2025-06-16,199,At Risk
C0027228,Liam Davis,7,5840.5,2025-06-26,189,At Risk
C0007296,Fatima Wilson,3,5838.11,2025-06-10,205,At Risk
C0022144,Sofia Lee,6,5832.07,2025-03-08,299,At Risk
C0042073,Sofia Brown,4,5826.43,2025-04-28,248,At Risk
C0040933,Priya Martinez,2,5823.06,2025-05-01,245,At Risk
C0041254,Kai Garcia,2,5813.97,2024-12-09,388,Lost
C0023099,Liam Brown,5,5812.8,2024-12-24,373,Lost
C0044354,Priya Kim,12,5812.39,2025-06-13,202,At Risk
C0037687,James Wilson,3,5798.58,2024-12-11,386,Lost
C0042136,Aria Lee,11,5797.08,2025-06-19,196,At Risk
C0022928,Aisha Robinson,7,5796.46,2025-02-08,327,At Risk
C0004892,Amelia Kim,6,5782.06,2025-06-01,214,At Risk
C0039791,Fatima Smith,2,5781.05,2025-04-19,257,At Risk
C0021625,Liam Martinez,6,5762.06,2024-12-13,384,Lost
C0010053,Benjamin Johnson,4,5758.98,2025-07-03,182,At Risk
C0001590,Daniel Lee,5,5758.05,2024-09-08,480,Lost
C0034222,Alex Miller,4,5754.04,2025-03-01,306,At Risk
C0006247,Kai Miller,5,5749.64,2025-05-11,235,At Risk
C0045889,James Martinez,3,5747.82,2025-03-17,290,At Risk
C0048682,Maya Thomas,3,5734.47,2023-12-09,754,Lost
C0033842,Kai Gupta,6,5731.45,2024-12-29,368,Lost
C0045389,Ravi Garcia,3,5729.14,2024-04-06,635,Lost
C0040946,Hannah Robinson,4,5727.01,2025-01-15,351,At Risk
C0021869,Liam Sharma,3,5722.27,2024-11-22,405,Lost
C0031327,Sofia Chen,3,5720.65,2024-12-08,389,Lost
C0030464,Olivia Robinson,4,5720.38,2024-08-16,503,Lost
C0032023,Isabella Singh,3,5711.85,2025-06-14,201,At Risk
C0012401,Olivia Khan,5,5704.08,2025-03-18,289,At Risk
C0025976,Hannah Martinez,3,5699.36,2025-02-28,307,At Risk
C0003675,Sofia Patel,2,5698.71,2024-08-06,513,Lost
C0041155,Mia Kim,5,5696.46,2025-01-09,357,At Risk
C0000160,Hannah Singh,6,5688.7,2025-02-14,321,At Risk
C0044905,Benjamin Lee,3,5677.52,2025-06-18,197,At Risk
C0019710,Aria Sharma,8,5674.62,2025-06-21,194,At Risk
C0012284,Priya Miller,6,5659.62,2025-06-30,185,At Risk
C0032631,Priya Khan,3,5655.27,2025-05-19,227,At Risk
C0044395,Liam Garcia,9,5650.2,2025-04-23,253,At Risk
C0013856,Sofia Robinson,8,5649.33,2025-05-21,225,At Risk
C0028999,Camila Martinez,3,5647.97,2024-05-02,609,Lost
C0005273,Isabella Brown,2,5634.61,2024-11-16,411,Lost
C0023167,Aria Gupta,3,5630.34,2025-07-03,182,At Risk
C0003121,Camila Robinson,11,5629.93,2024-12-29,368,Lost
C0044542,James Johnson,4,5621.74,2024-07-25,525,Lost
C0046189,Maya Martinez,2,5620.73,2025-01-03,363,At Risk
C0011673,Kai Khan,2,5614.42,2024-09-04,484,Lost
C0014348,Theo Chen,6,5610.81,2025-02-23,312,At Risk
C0003505,Daniel Robinson,5,5608.69,2025-06-28,187,At Risk
C0029797,Sofia Lee,6,5600.29,2024-12-29,368,Lost
C0025840,Alex Singh,4,5594.87,2025-06-25,190,At Risk
C0042639,Fatima Patel,3,5591.36,2024-08-27,492,Lost
C0003730,Maya Gupta,3,5590.99,2024-10-27,431,Lost
C0009283,Isabella Davis,2,5580.88,2025-06-20,195,At Risk
C0020995,Aria Taylor,2,5572.13,2024-11-03,424,Lost
C0033225,Amelia Thomas,2,5569.77,2025-05-27,219,At Risk
C0032774,Theo Thomas,6,5569.15,2025-05-13,233,At Risk
C0015716,James Singh,8,5568.67,2025-03-13,294,At Risk
C0044568,Mia Davis,3,5563.39,2025-02-02,333,At Risk
C0027542,Sofia Anderson,6,5549.59,2025-06-09,206,At Risk
C0040974,Ravi Sharma,3,5547.25,2023-11-28,765,Lost
C0047846,Olivia Patel,7,5533.81,2025-03-20,287,At Risk
C0013844,Maya Chen,6,5530.98,2025-04-12,264,At Risk
C0030887,Theo Chen,5,5529.4,2025-01-14,352,At Risk
C0022754,Customer C0022754,3,5528.91,2024-12-13,384,Lost
C0025310,Alex Taylor,3,5525.36,2024-06-06,574,Lost
C0011899,Aria Johnson,14,5523.42,2025-05-06,240,At Risk
C0019272,Benjamin Davis,4,5522.47,2025-02-18,317,At Risk
C0027487,James Sharma,4,5518.0,2025-05-12,234,At Risk
C0041716,Fatima Patel,5,5513.2,2025-04-14,262,At Risk
C0041786,Mia Thomas,5,5506.94,2025-05-19,227,At Risk
C0007759,James Thomas,7,5502.54,2025-05-16,230,At Risk
C0026826,Aarav Khan,4,5496.83,2024-12-15,382,Lost
C0011939,Aria Miller,7,5490.41,2025-03-23,284,At Risk
C0002698,Maya Khan,12,5489.39,2024-11-01,426,Lost
C0029524,Aarav Gupta,3,5477.27,2024-07-29,521,Lost
C0039418,Ravi Davis,2,5469.83,2024-12-17,380,Lost
C0032190,Aria Taylor,11,5465.73,2025-04-02,274,At Risk
C0031972,Grace Martinez,5,5463.57,2024-11-03,424,Lost
C0011282,Noah Lee,5,5460.65,2025-04-12,264,At Risk
C0031475,Olivia Khan,5,5457.12,2025-03-25,282,At Risk
C0031982,James Smith,4,5456.75,2024-11-14,413,Lost
C0033176,Kai Johnson,8,5455.62,2025-04-25,251,At Risk
C0022770,Alex Davis,6,5455.16,2025-02-16,319,At Risk
C0015996,Grace Martinez,4,5449.91,2024-10-14,444,Lost
C0018708,Noah Thomas,12,5447.84,2025-04-05,271,At Risk
C0009456,Ethan Johnson,5,5438.68,2025-03-22,285,At Risk
